Date,Open,High,Low,Close,Adj Close,Volume
2018-07-23,4.540500,4.544000,4.531500,4.541500,4.541500,4370
2018-07-24,4.576500,4.576500,4.555500,4.555500,4.555500,3159
2018-07-25,4.532000,4.554500,4.532000,4.548000,4.548000,48341
2018-07-26,4.572500,4.597000,4.571500,4.597000,4.597000,1585
2018-07-27,4.608500,4.628000,4.560500,4.565500,4.565500,14011
2018-07-30,4.546000,4.547500,4.527000,4.527000,4.527000,29311
2018-07-31,4.517000,4.517500,4.500000,4.517500,4.517500,6539
2018-08-01,4.547500,4.547500,4.526000,4.526000,4.526000,3063
2018-08-02,4.551000,4.555500,4.532500,4.555500,4.555500,13293
2018-08-03,4.580500,4.580500,4.561000,4.561000,4.561000,318
2018-08-06,4.600500,4.600500,4.581000,4.592000,4.592000,57812
2018-08-07,4.603500,4.614500,4.589000,4.589000,4.589000,36035
2018-08-08,4.573500,4.589000,4.562500,4.569500,4.569500,11070
2018-08-09,4.580000,4.615000,4.580000,4.611500,4.611500,25820
2018-08-10,4.612000,4.638000,4.603500,4.638000,4.638000,27546
2018-08-13,4.661500,4.661500,4.608500,4.608500,4.608500,987
2018-08-14,4.617000,4.643500,4.613000,4.643500,4.643500,15109
2018-08-15,4.650500,4.650500,4.590000,4.590000,4.590000,14927
2018-08-16,4.606000,4.606000,4.595000,4.605000,4.605000,3386
2018-08-17,4.611000,4.614000,4.590000,4.595500,4.595500,30725
2018-08-20,4.618500,4.622500,4.609000,4.614000,4.614000,59823
2018-08-21,4.599000,4.622000,4.599000,4.622000,4.622000,11138
2018-08-22,4.613500,4.614500,4.597000,4.614500,4.614500,25156
2018-08-23,4.627000,4.629000,4.607500,4.607500,4.607500,3359
2018-08-24,4.620000,4.621500,4.610500,4.610500,4.610500,18450
2018-08-27,4.654500,4.655500,4.640500,4.640500,4.640500,25287
2018-08-28,4.639000,4.639000,4.609500,4.609500,4.609500,13536
2018-08-29,4.642000,4.642000,4.628000,4.632500,4.632500,24005
2018-08-30,4.633500,4.647500,4.630000,4.641500,4.641500,3115
2018-08-31,4.638000,4.650500,4.627500,4.648500,4.648500,18657
2018-09-03,4.667500,4.671500,4.647000,4.654000,4.654000,48500
2018-09-04,4.679000,4.679000,4.642500,4.643000,4.643000,48818
2018-09-05,4.644000,4.644000,4.590000,4.596000,4.596000,20286
2018-09-06,4.615000,4.615000,4.586000,4.586000,4.586000,21332
2018-09-07,4.577000,4.590500,4.570500,4.590500,4.590500,20177
2018-09-10,4.607000,4.608000,4.590000,4.590000,4.590000,5171
2018-09-11,4.583500,4.605000,4.580000,4.593500,4.593500,39234
2018-09-12,4.606500,4.608000,4.577000,4.587500,4.587500,9933
2018-09-13,4.603500,4.610000,4.576000,4.576000,4.576000,28945
2018-09-14,4.589500,4.609500,4.586000,4.609500,4.609500,15619
2018-09-17,4.618500,4.618500,4.587500,4.587500,4.587500,3588
2018-09-18,4.582500,4.595500,4.576500,4.588000,4.588000,7628
2018-09-19,4.599000,4.609500,4.599000,4.599500,4.599500,6050
2018-09-20,4.591500,4.591500,4.575000,4.575000,4.575000,13454
2018-09-21,4.591000,4.599000,4.586500,4.586500,4.586500,14005
2018-09-24,4.581000,4.581000,4.550000,4.550000,4.550000,21369
2018-09-25,4.580500,4.581500,4.574000,4.579000,4.579000,14182
2018-09-26,4.594500,4.594500,4.573000,4.573000,4.573000,3966
2018-09-27,4.572500,4.585500,4.552500,4.585500,4.585500,15172
2018-09-28,4.594500,4.607000,4.587000,4.594500,4.594500,6311
2018-10-01,4.609500,4.628500,4.602500,4.612500,4.612500,11025
2018-10-02,4.598500,4.599500,4.570500,4.570500,4.570500,48160
2018-10-04,4.634500,4.634500,4.549000,4.554500,4.554500,22100
2018-10-05,4.549500,4.549500,4.503000,4.503000,4.503000,43694
2018-10-08,4.501500,4.501500,4.478500,4.478500,4.478500,19031
2018-10-09,4.487500,4.487500,4.470000,4.481500,4.481500,10682
2018-10-10,4.477000,4.477000,4.376000,4.376000,4.376000,20544
2018-10-11,4.328500,4.328500,4.270000,4.280000,4.280000,22413
2018-10-12,4.316000,4.323500,4.282000,4.282000,4.282000,12555
2018-10-15,4.261500,4.279500,4.246500,4.273500,4.273500,16623
2018-10-16,4.273500,4.337500,4.273500,4.337500,4.337500,33744
2018-10-17,4.391000,4.393500,4.350000,4.354000,4.354000,19625
2018-10-18,4.376000,4.377000,4.337500,4.337500,4.337500,10082
2018-10-19,4.332000,4.344000,4.318500,4.318500,4.318500,2024
2018-10-22,4.302500,4.310500,4.280000,4.293500,4.293500,17046
2018-10-23,4.239000,4.244000,4.189000,4.201000,4.201000,12059
2018-10-24,4.231500,4.247000,4.206500,4.206500,4.206500,3234
2018-10-25,4.140500,4.196500,4.135500,4.196500,4.196500,31450
2018-10-26,4.162500,4.162500,4.087500,4.136000,4.136000,39079
2018-10-29,4.149500,4.200000,4.141500,4.164500,4.164500,17478
2018-10-30,4.171000,4.188500,4.135500,4.177000,4.177000,8867
2018-10-31,4.228500,4.280000,4.228500,4.255000,4.255000,20623
2018-11-01,4.250500,4.269000,4.250500,4.269000,4.269000,28686
2018-11-02,4.327500,4.327500,4.291500,4.291500,4.291500,67424
2018-11-05,4.307000,4.320000,4.286500,4.286500,4.286500,8898
2018-11-06,4.297500,4.307000,4.293000,4.293000,4.293000,13605
2018-11-07,4.330000,4.341000,4.315500,4.336500,4.336500,81381
2018-11-08,4.377500,4.381500,4.359500,4.369000,4.369000,20390
2018-11-09,4.377500,4.377500,4.345000,4.345000,4.345000,13113
2018-11-12,4.375000,4.375000,4.298500,4.301500,4.301500,35410
2018-11-13,4.303500,4.318000,4.274500,4.301500,4.301500,85630
2018-11-14,4.254000,4.275500,4.241000,4.241000,4.241000,5596
2018-11-15,4.241500,4.241500,4.208000,4.223500,4.223500,8511
2018-11-16,4.234000,4.235000,4.204000,4.210000,4.210000,8216
2018-11-19,4.243000,4.243000,4.182500,4.182500,4.182500,9461
2018-11-20,4.135000,4.145000,4.100000,4.123500,4.123500,61826
2018-11-21,4.121500,4.158500,4.110000,4.158500,4.158500,10799
2018-11-22,4.151500,4.151500,4.120000,4.120000,4.120000,9998
2018-11-23,4.114000,4.177000,4.114000,4.177000,4.177000,3705
2018-11-26,4.193500,4.218000,4.181000,4.199000,4.199000,11390
2018-11-27,4.210000,4.222500,4.198500,4.204000,4.204000,4649
2018-11-28,4.220000,4.235500,4.217500,4.225500,4.225500,9103
2018-11-29,4.255500,4.259500,4.231000,4.247500,4.247500,2849
2018-11-30,4.247500,4.269500,4.238500,4.265000,4.265000,5977
2018-12-03,null,null,null,null,null,null
2018-12-04,4.285500,4.285500,4.252000,4.252000,4.252000,35573
2018-12-05,4.193500,4.212000,4.187000,4.187000,4.187000,9435
2018-12-06,4.157000,4.157000,4.070000,4.077500,4.077500,46930
2018-12-07,4.128000,4.164000,4.118000,4.118000,4.118000,89630
2018-12-10,4.071500,4.074000,4.019500,4.025500,4.025500,23066
2018-12-11,4.046500,4.110000,4.043000,4.090500,4.090500,28812
2018-12-12,4.092500,4.132000,4.092500,4.119500,4.119500,20368
2018-12-13,4.147500,4.147500,4.093500,4.094500,4.094500,12875
2018-12-14,4.038500,4.070000,4.036000,4.065000,4.065000,23946
2018-12-17,4.024500,4.024500,3.980000,4.000500,4.000500,36227
2018-12-18,3.945000,3.960000,3.936000,3.943000,3.943000,85059
2018-12-19,3.924500,3.929000,3.916000,3.918500,3.918500,18509
2018-12-20,3.817000,3.844000,3.817000,3.817500,3.817500,51009
2018-12-21,3.803000,3.821000,3.790000,3.794000,3.794000,42310
2018-12-27,3.833000,3.833000,3.746000,3.767500,3.767500,12696
2018-12-28,3.838500,3.851000,3.798500,3.841000,3.841000,31081
2019-01-02,3.831000,3.900000,3.789000,3.892500,3.892500,40680
2019-01-03,3.864000,3.875000,3.820000,3.860000,3.860000,31232
2019-01-04,3.873500,3.928500,3.870000,3.922500,3.922500,40336
2019-01-07,3.948000,3.976500,3.929000,3.976500,3.976500,21905
2019-01-08,3.995000,4.020000,3.995000,4.005000,4.005000,27369
2019-01-09,null,null,null,null,null,null
2019-01-10,null,null,null,null,null,null
2019-01-11,null,null,null,null,null,null
2019-01-14,null,null,null,null,null,null
2019-01-15,null,null,null,null,null,null
2019-01-16,null,null,null,null,null,null
2019-01-17,null,null,null,null,null,null
2019-01-18,null,null,null,null,null,null
2019-01-21,null,null,null,null,null,null
2019-01-22,null,null,null,null,null,null
2019-01-23,null,null,null,null,null,null
2019-01-24,null,null,null,null,null,null
2019-01-25,null,null,null,null,null,null
2019-01-28,null,null,null,null,null,null
2019-01-29,null,null,null,null,null,null
2019-01-30,null,null,null,null,null,null
2019-01-31,null,null,null,null,null,null
2019-02-01,null,null,null,null,null,null
2019-02-04,null,null,null,null,null,null
2019-02-05,null,null,null,null,null,null
2019-02-06,null,null,null,null,null,null
2019-02-07,null,null,null,null,null,null
2019-02-08,null,null,null,null,null,null
2019-02-11,null,null,null,null,null,null
2019-02-12,null,null,null,null,null,null
2019-02-13,null,null,null,null,null,null
2019-02-14,null,null,null,null,null,null
2019-02-15,null,null,null,null,null,null
2019-02-18,null,null,null,null,null,null
2019-02-19,null,null,null,null,null,null
2019-02-20,null,null,null,null,null,null
2019-02-21,null,null,null,null,null,null
2019-02-22,null,null,null,null,null,null
2019-02-25,null,null,null,null,null,null
2019-02-26,null,null,null,null,null,null
2019-02-27,null,null,null,null,null,null
2019-02-28,null,null,null,null,null,null
2019-03-01,null,null,null,null,null,null
2019-03-04,null,null,null,null,null,null
2019-03-05,null,null,null,null,null,null
2019-03-06,null,null,null,null,null,null
2019-03-07,null,null,null,null,null,null
2019-03-08,null,null,null,null,null,null
2019-03-11,null,null,null,null,null,null
2019-03-12,null,null,null,null,null,null
2019-03-13,null,null,null,null,null,null
2019-03-14,null,null,null,null,null,null
2019-03-15,null,null,null,null,null,null
2019-03-18,null,null,null,null,null,null
2019-03-19,null,null,null,null,null,null
2019-03-20,null,null,null,null,null,null
2019-03-21,null,null,null,null,null,null
2019-03-22,null,null,null,null,null,null
2019-03-25,null,null,null,null,null,null
2019-03-26,null,null,null,null,null,null
2019-03-27,null,null,null,null,null,null
2019-03-28,null,null,null,null,null,null
2019-03-29,null,null,null,null,null,null
2019-04-01,null,null,null,null,null,null
2019-04-02,null,null,null,null,null,null
2019-04-03,null,null,null,null,null,null
2019-04-04,null,null,null,null,null,null
2019-04-05,null,null,null,null,null,null
2019-04-08,null,null,null,null,null,null
2019-04-09,null,null,null,null,null,null
2019-04-10,null,null,null,null,null,null
2019-04-11,null,null,null,null,null,null
2019-04-12,null,null,null,null,null,null
2019-04-15,null,null,null,null,null,null
2019-04-16,null,null,null,null,null,null
2019-04-17,null,null,null,null,null,null
2019-04-18,null,null,null,null,null,null
2019-04-23,null,null,null,null,null,null
2019-04-24,null,null,null,null,null,null
2019-04-25,null,null,null,null,null,null
2019-04-26,null,null,null,null,null,null
2019-04-29,null,null,null,null,null,null
2019-04-30,null,null,null,null,null,null
2019-05-02,null,null,null,null,null,null
2019-05-03,null,null,null,null,null,null
2019-05-06,null,null,null,null,null,null
2019-05-07,null,null,null,null,null,null
2019-05-08,null,null,null,null,null,null
2019-05-09,null,null,null,null,null,null
2019-05-10,null,null,null,null,null,null
2019-05-13,null,null,null,null,null,null
2019-05-14,null,null,null,null,null,null
2019-05-15,null,null,null,null,null,null
2019-05-16,null,null,null,null,null,null
2019-05-17,null,null,null,null,null,null
2019-05-20,null,null,null,null,null,null
2019-05-21,null,null,null,null,null,null
2019-05-22,null,null,null,null,null,null
2019-05-23,null,null,null,null,null,null
2019-05-24,null,null,null,null,null,null
2019-05-27,null,null,null,null,null,null
2019-05-28,null,null,null,null,null,null
2019-05-29,null,null,null,null,null,null
2019-05-30,null,null,null,null,null,null
2019-05-31,null,null,null,null,null,null
2019-06-03,null,null,null,null,null,null
2019-06-04,null,null,null,null,null,null
2019-06-05,null,null,null,null,null,null
2019-06-06,null,null,null,null,null,null
2019-06-07,null,null,null,null,null,null
2019-06-11,null,null,null,null,null,null
2019-06-12,null,null,null,null,null,null
2019-06-13,null,null,null,null,null,null
2019-06-14,null,null,null,null,null,null
2019-06-17,null,null,null,null,null,null
2019-06-18,null,null,null,null,null,null
2019-06-19,null,null,null,null,null,null
2019-06-20,null,null,null,null,null,null
2019-06-21,null,null,null,null,null,null
2019-06-24,null,null,null,null,null,null
2019-06-25,null,null,null,null,null,null
2019-06-26,null,null,null,null,null,null
2019-06-27,null,null,null,null,null,null
2019-06-28,null,null,null,null,null,null
2019-07-01,null,null,null,null,null,null
2019-07-02,null,null,null,null,null,null
2019-07-03,null,null,null,null,null,null
2019-07-04,null,null,null,null,null,null
2019-07-05,null,null,null,null,null,null
2019-07-08,null,null,null,null,null,null
2019-07-09,null,null,null,null,null,null
2019-07-10,null,null,null,null,null,null
2019-07-11,null,null,null,null,null,null
2019-07-12,null,null,null,null,null,null
2019-07-15,null,null,null,null,null,null
2019-07-16,null,null,null,null,null,null
2019-07-17,null,null,null,null,null,null
2019-07-18,null,null,null,null,null,null
2019-07-19,null,null,null,null,null,null
2019-07-22,null,null,null,null,null,null
2019-07-23,null,null,null,null,null,null
2019-07-24,null,null,null,null,null,null
2019-07-25,null,null,null,null,null,null
2019-07-26,null,null,null,null,null,null
2019-07-29,null,null,null,null,null,null
2019-07-30,null,null,null,null,null,null
2019-07-31,null,null,null,null,null,null
2019-08-01,null,null,null,null,null,null
2019-08-02,null,null,null,null,null,null
2019-08-05,null,null,null,null,null,null
2019-08-06,null,null,null,null,null,null
2019-08-07,null,null,null,null,null,null
2019-08-08,null,null,null,null,null,null
2019-08-09,null,null,null,null,null,null
2019-08-12,null,null,null,null,null,null
2019-08-13,null,null,null,null,null,null
2019-08-14,null,null,null,null,null,null
2019-08-15,null,null,null,null,null,null
2019-08-16,null,null,null,null,null,null
2019-08-19,null,null,null,null,null,null
2019-08-20,null,null,null,null,null,null
2019-08-21,null,null,null,null,null,null
2019-08-22,null,null,null,null,null,null
2019-08-23,null,null,null,null,null,null
