"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 26, 2020","5.33","5.33","5.33","5.32","264.42K","0.00%"
"Jun 25, 2020","5.33","5.33","5.33","5.32","108.62K","0.00%"
"Jun 24, 2020","5.32","5.32","5.32","5.31","165.16K","0.00%"
"Jun 23, 2020","5.32","5.34","5.34","5.31","369.76K","0.00%"
"Jun 22, 2020","5.33","5.31","5.33","5.31","340.62K","0.29%"
"Jun 19, 2020","5.31","5.33","5.33","5.31","120.44K","-0.28%"
"Jun 18, 2020","5.33","5.34","5.34","5.31","224.93K","0.25%"
"Jun 17, 2020","5.31","5.29","5.32","5.29","62.31K","0.00%"
"Jun 16, 2020","5.31","5.33","5.33","5.30","490.60K","-0.16%"
"Jun 15, 2020","5.32","5.34","5.34","5.31","155.09K","0.00%"
"Jun 12, 2020","5.32","5.30","5.32","5.30","203.92K","0.00%"
"Jun 11, 2020","5.32","5.29","5.33","5.29","73.30K","0.52%"
"Jun 10, 2020","5.30","5.32","5.32","5.29","745.98K","0.00%"
"Jun 09, 2020","5.30","5.31","5.31","5.29","311.92K","0.00%"
"Jun 08, 2020","5.30","5.31","5.31","5.26","366.49K","-0.13%"
"Jun 05, 2020","5.30","5.30","5.30","5.27","611.12K","0.15%"
"Jun 04, 2020","5.29","5.31","5.31","5.28","328.10K","-0.10%"
"Jun 03, 2020","5.30","5.30","5.31","5.28","343.01K","-0.09%"
"Jun 02, 2020","5.30","5.31","5.31","5.30","214.28K","0.10%"
"May 29, 2020","5.30","5.32","5.32","5.30","235.46K","-0.32%"
"May 28, 2020","5.32","5.31","5.32","5.29","126.47K","0.20%"
"May 27, 2020","5.31","5.32","5.32","5.29","137.69K","0.00%"
"May 26, 2020","5.31","5.32","5.32","5.29","205.60K","0.00%"
"May 25, 2020","5.31","5.28","5.32","5.28","291.61K","0.00%"
"May 22, 2020","5.31","5.33","5.33","5.30","276.45K","0.00%"
"May 21, 2020","5.31","5.32","5.32","5.29","81.38K","0.37%"
"May 20, 2020","5.29","5.30","5.30","5.28","118.06K","0.11%"
"May 19, 2020","5.28","5.30","5.30","5.26","340.93K","0.00%"
"May 18, 2020","5.28","5.29","5.30","5.28","39.20K","-0.14%"
"May 15, 2020","5.29","5.31","5.31","5.28","165.14K","0.00%"
"May 14, 2020","5.29","5.28","5.30","5.28","111.33K","0.14%"
"May 13, 2020","5.28","5.28","5.30","5.27","232.59K","0.17%"
"May 12, 2020","5.27","5.27","5.28","5.27","136.06K","-0.19%"
"May 11, 2020","5.28","5.30","5.30","5.27","633.48K","0.00%"
"May 08, 2020","5.28","5.28","5.30","5.28","80.68K","-0.19%"
"May 07, 2020","5.29","5.30","5.30","5.26","125.97K","0.28%"
"May 06, 2020","5.28","5.30","5.30","5.26","445.25K","-0.35%"
"May 05, 2020","5.30","5.31","5.31","5.27","153.93K","-0.31%"
"May 04, 2020","5.31","5.32","5.32","5.29","528.91K","0.68%"
"Apr 30, 2020","5.28","5.30","5.32","5.28","232.59K","-0.40%"
"Apr 29, 2020","5.30","5.31","5.32","5.27","146.83K","0.25%"
"Apr 28, 2020","5.28","5.30","5.30","5.26","894.59K","0.00%"
"Apr 27, 2020","5.29","5.31","5.31","5.28","153.66K","-0.28%"
"Apr 24, 2020","5.30","5.26","5.30","5.26","96.06K","0.53%"
"Apr 23, 2020","5.27","5.29","5.29","5.25","88.19K","0.00%"
"Apr 22, 2020","5.28","5.28","5.29","5.26","196.85K","0.00%"
"Apr 21, 2020","5.28","5.28","5.29","5.26","547.43K","0.14%"
"Apr 20, 2020","5.27","5.30","5.30","5.25","116.55K","-0.26%"
"Apr 17, 2020","5.28","5.30","5.31","5.27","66.12K","0.00%"
"Apr 16, 2020","5.28","5.30","5.31","5.26","101.80K","0.35%"
"Apr 15, 2020","5.26","5.29","5.29","5.24","172.59K","0.54%"
"Apr 14, 2020","5.23","5.28","5.29","5.22","496.46K","-0.54%"
"Apr 09, 2020","5.26","5.24","5.28","5.22","134.93K","0.63%"
"Apr 08, 2020","5.23","5.25","5.25","5.20","66.47K","0.35%"
"Apr 07, 2020","5.21","5.24","5.25","5.19","354.94K","-0.60%"
"Apr 06, 2020","5.24","5.24","5.25","5.19","186.58K","0.00%"
"Apr 03, 2020","5.24","5.24","5.26","5.20","269.34K","0.18%"
"Apr 02, 2020","5.23","5.25","5.25","5.19","65.46K","-0.15%"
"Apr 01, 2020","5.24","5.25","5.27","5.22","90.66K","0.00%"
"Mar 31, 2020","5.24","5.25","5.25","5.19","531.25K","0.10%"
"Mar 30, 2020","5.24","5.25","5.26","5.20","50.84K","0.39%"
"Mar 27, 2020","5.21","5.22","5.24","5.17","55.88K","0.28%"
"Mar 26, 2020","5.20","5.18","5.22","5.13","100.35K","0.63%"
"Mar 25, 2020","5.17","5.16","5.18","5.09","379.56K","1.59%"
"Mar 24, 2020","5.09","5.10","5.18","5.09","773.08K","-0.56%"
"Mar 23, 2020","5.12","5.03","5.17","5.03","387.90K","1.30%"
"Mar 20, 2020","5.05","5.05","5.10","5.00","211.31K","0.00%"
"Mar 19, 2020","5.05","5.00","5.11","4.99","95.64K","0.00%"
"Mar 18, 2020","5.05","5.09","5.11","5.00","227.55K","-0.79%"
"Mar 17, 2020","5.09","5.18","5.23","5.00","1.31M","-2.49%"
"Mar 16, 2020","5.22","5.19","5.22","5.10","1.03M","0.97%"
"Mar 13, 2020","5.17","5.17","5.26","5.12","254.68K","-0.58%"
"Mar 12, 2020","5.20","5.31","5.33","5.16","779.31K","-1.89%"
"Mar 11, 2020","5.30","5.32","5.35","5.30","825.31K","-0.38%"
"Mar 10, 2020","5.32","5.34","5.37","5.32","450.85K","-1.12%"
"Mar 09, 2020","5.38","5.43","5.44","5.36","351.01K","0.19%"
"Mar 06, 2020","5.37","5.35","5.39","5.35","163.59K","0.75%"
"Mar 05, 2020","5.33","5.35","5.35","5.33","494.33K","-0.19%"
"Mar 04, 2020","5.34","5.33","5.34","5.32","521.03K","0.00%"
"Mar 03, 2020","5.34","5.30","5.34","5.30","266.88K","0.56%"
"Mar 02, 2020","5.31","5.32","5.33","5.31","505.09K","0.19%"
"Feb 28, 2020","5.30","5.31","5.32","5.30","451.98K","0.38%"
"Feb 27, 2020","5.28","5.30","5.30","5.28","150.97K","-0.19%"
"Feb 26, 2020","5.29","5.28","5.30","5.28","204.16K","-0.38%"
"Feb 25, 2020","5.31","5.30","5.31","5.29","823.81K","0.38%"
"Feb 24, 2020","5.29","5.30","5.30","5.29","347.19K","0.19%"
"Feb 21, 2020","5.28","5.29","5.29","5.27","158.85K","0.19%"
"Feb 20, 2020","5.27","5.27","5.27","5.26","176.20K","0.00%"
"Feb 19, 2020","5.27","5.27","5.27","5.26","114.32K","0.00%"
"Feb 18, 2020","5.27","5.27","5.27","5.26","588.97K","0.19%"
"Feb 17, 2020","5.26","5.26","5.26","5.25","121.94K","0.19%"
"Feb 14, 2020","5.25","5.26","5.26","5.25","159.82K","-0.19%"
"Feb 13, 2020","5.26","5.27","5.27","5.25","151.94K","0.19%"
"Feb 12, 2020","5.25","5.26","5.26","5.24","563.05K","-0.19%"
"Feb 11, 2020","5.26","5.27","5.27","5.25","517.86K","-0.19%"
"Feb 10, 2020","5.27","5.26","5.27","5.25","88.93K","0.38%"
"Feb 07, 2020","5.25","5.26","5.26","5.25","46.21K","0.38%"
"Feb 06, 2020","5.23","5.25","5.25","5.23","362.66K","0.00%"
"Feb 05, 2020","5.23","5.27","5.27","5.23","150.45K","-0.38%"
"Feb 04, 2020","5.25","5.26","5.26","5.25","337.47K","-0.19%"
"Feb 03, 2020","5.26","5.27","5.27","5.25","149.56K","-0.19%"
"Jan 31, 2020","5.27","5.26","5.27","5.25","110.13K","0.19%"
"Jan 30, 2020","5.26","5.27","5.27","5.25","303.12K","0.19%"
"Jan 29, 2020","5.25","5.25","5.25","5.24","199.83K","0.19%"
"Jan 28, 2020","5.24","5.25","5.26","5.23","840.32K","-0.19%"
"Jan 27, 2020","5.25","5.24","5.25","5.24","103.10K","0.38%"
"Jan 24, 2020","5.23","5.22","5.23","5.22","195.52K","0.00%"
"Jan 23, 2020","5.23","5.23","5.23","5.22","108.23K","0.38%"
"Jan 22, 2020","5.21","5.20","5.22","5.20","90.83K","0.00%"
"Jan 21, 2020","5.21","5.21","5.21","5.20","496.38K","0.00%"
"Jan 20, 2020","5.21","5.21","5.21","5.20","194.70K","0.19%"
"Jan 17, 2020","5.20","5.21","5.21","5.20","169.38K","0.00%"
"Jan 16, 2020","5.20","5.21","5.21","5.20","70.76K","-0.19%"
"Jan 15, 2020","5.21","5.20","5.21","5.20","391.38K","0.39%"
"Jan 14, 2020","5.19","5.20","5.20","5.19","279.87K","0.00%"
"Jan 13, 2020","5.19","5.20","5.20","5.19","156.39K","-0.19%"
"Jan 10, 2020","5.20","5.19","5.20","5.19","111.55K","0.39%"
"Jan 09, 2020","5.18","5.19","5.19","5.18","161.43K","-0.19%"
"Jan 08, 2020","5.19","5.20","5.21","5.19","214.80K","-0.19%"
"Jan 07, 2020","5.20","5.19","5.20","5.19","248.03K","0.00%"
"Jan 06, 2020","5.20","5.21","5.21","5.20","57.19K","-0.19%"
"Jan 03, 2020","5.21","5.22","5.22","5.20","339.79K","0.19%"
"Jan 02, 2020","5.20","5.18","5.20","5.18","354.39K","0.39%"
"Dec 30, 2019","5.18","5.18","5.20","5.18","464.73K","-0.38%"
"Dec 27, 2019","5.20","5.16","5.20","5.16","256.02K","0.39%"
"Dec 23, 2019","5.18","5.18","5.20","5.18","595.15K","0.00%"
"Dec 20, 2019","5.18","5.19","5.19","5.17","183.59K","0.00%"
"Dec 19, 2019","5.18","5.19","5.19","5.17","114.89K","0.00%"
"Dec 18, 2019","5.18","5.21","5.21","5.18","152.54K","-0.19%"
"Dec 17, 2019","5.19","5.21","5.21","5.19","362.24K","0.00%"
"Dec 16, 2019","5.19","5.21","5.21","5.19","123.52K","-0.19%"
"Dec 13, 2019","5.20","5.20","5.20","5.18","118.40K","0.39%"
"Dec 12, 2019","5.18","5.20","5.20","5.17","221.38K","-0.38%"
"Dec 11, 2019","5.20","5.18","5.20","5.18","97.65K","0.19%"
"Dec 10, 2019","5.19","5.20","5.20","5.19","615.88K","0.00%"
"Dec 09, 2019","5.19","5.20","5.20","5.19","155.19K","0.00%"
"Dec 06, 2019","5.19","5.19","5.19","5.18","101.20K","0.00%"
"Dec 05, 2019","5.19","5.21","5.21","5.19","237.09K","-0.19%"
"Dec 04, 2019","5.20","5.20","5.21","5.19","134.13K","-0.19%"
"Dec 03, 2019","5.21","5.20","5.21","5.18","371.99K","0.39%"
"Dec 02, 2019","5.19","5.22","5.22","5.18","192.56K","-0.19%"
"Nov 29, 2019","5.20","5.22","5.22","5.20","91.17K","-0.19%"
"Nov 28, 2019","5.21","5.22","5.22","5.20","653.91K","0.00%"
"Nov 27, 2019","5.21","5.22","5.22","5.20","226.44K","0.00%"
"Nov 26, 2019","5.21","5.19","5.22","5.19","257.35K","0.19%"
"Nov 25, 2019","5.20","5.21","5.21","5.19","96.21K","0.00%"
"Nov 22, 2019","5.20","5.21","5.21","5.19","147.43K","0.00%"
"Nov 21, 2019","5.20","5.19","5.21","5.19","61.93K","0.00%"
"Nov 20, 2019","5.20","5.20","5.21","5.20","176.89K","0.00%"
"Nov 19, 2019","5.20","5.20","5.20","5.19","225.91K","0.00%"
"Nov 18, 2019","5.20","5.18","5.20","5.18","95.87K","0.19%"
"Nov 15, 2019","5.19","5.19","5.19","5.18","69.52K","0.00%"
"Nov 14, 2019","5.19","5.17","5.20","5.17","106.80K","0.19%"
"Nov 13, 2019","5.18","5.16","5.19","5.16","149.23K","0.19%"
"Nov 12, 2019","5.17","5.19","5.19","5.16","432.99K","0.00%"
"Nov 11, 2019","5.17","5.18","5.18","5.17","164.58K","-0.19%"
"Nov 08, 2019","5.18","5.17","5.18","5.17","129.63K","0.19%"
"Nov 07, 2019","5.17","5.19","5.19","5.17","92.90K","-0.58%"
"Nov 06, 2019","5.20","5.19","5.20","5.19","116.64K","0.19%"
"Nov 05, 2019","5.19","5.21","5.21","5.19","235.44K","-0.38%"
"Nov 04, 2019","5.21","5.23","5.23","5.21","207.74K","-0.19%"
"Nov 01, 2019","5.22","5.23","5.23","5.22","55.69K","0.00%"
"Oct 31, 2019","5.22","5.21","5.23","5.21","120.84K","0.38%"
"Oct 30, 2019","5.20","5.19","5.20","5.19","106.59K","0.19%"
"Oct 29, 2019","5.19","5.21","5.21","5.19","299.47K","0.00%"
"Oct 28, 2019","5.19","5.22","5.22","5.19","56.67K","-0.38%"
"Oct 25, 2019","5.21","5.21","5.21","5.20","62.73K","-0.19%"
"Oct 24, 2019","5.22","5.23","5.23","5.20","95.15K","0.00%"
"Oct 23, 2019","5.22","5.22","5.22","5.21","118.32K","0.38%"
"Oct 22, 2019","5.20","5.19","5.22","5.19","232.36K","0.19%"
"Oct 21, 2019","5.19","5.20","5.21","5.19","90.59K","-0.38%"
"Oct 18, 2019","5.21","5.23","5.23","5.21","97.34K","0.00%"
"Oct 17, 2019","5.21","5.22","5.22","5.20","211.78K","0.00%"
"Oct 16, 2019","5.21","5.22","5.23","5.21","96.68K","0.00%"
"Oct 15, 2019","5.21","5.22","5.24","5.21","176.74K","-0.19%"
"Oct 14, 2019","5.22","5.21","5.23","5.21","147.80K","0.00%"
"Oct 11, 2019","5.22","5.23","5.24","5.21","62.78K","-0.19%"
"Oct 10, 2019","5.23","5.26","5.26","5.23","73.57K","-0.38%"
"Oct 09, 2019","5.25","5.27","5.27","5.25","39.20K","-0.19%"
"Oct 08, 2019","5.26","5.25","5.27","5.25","158.49K","0.00%"
"Oct 07, 2019","5.26","5.27","5.27","5.26","196.50K","0.00%"
"Oct 04, 2019","5.26","5.26","5.26","5.26","155.46K","0.38%"
"Oct 02, 2019","5.24","5.26","5.26","5.24","164.82K","-0.19%"
"Oct 01, 2019","5.25","5.23","5.25","5.23","194.00K","0.19%"
"Sep 30, 2019","5.24","5.26","5.26","5.23","212.89K","0.00%"
"Sep 27, 2019","5.24","5.25","5.25","5.24","57.20K","0.00%"
"Sep 26, 2019","5.24","5.24","5.25","5.24","51.91K","0.00%"
"Sep 25, 2019","5.24","5.24","5.26","5.24","83.79K","-0.19%"
"Sep 24, 2019","5.25","5.24","5.25","5.24","229.40K","0.00%"
"Sep 23, 2019","5.25","5.23","5.25","5.23","28.70K","0.38%"
"Sep 20, 2019","5.23","5.24","5.24","5.22","22.93K","0.19%"
"Sep 19, 2019","5.22","5.22","5.23","5.22","57.94K","0.00%"
"Sep 18, 2019","5.22","5.20","5.23","5.20","154.54K","0.19%"
"Sep 17, 2019","5.21","5.22","5.22","5.20","169.95K","0.19%"
"Sep 16, 2019","5.20","5.20","5.21","5.20","87.06K","0.00%"
"Sep 13, 2019","5.20","5.22","5.22","5.20","105.13K","-0.57%"
"Sep 12, 2019","5.23","5.22","5.26","5.22","171.17K","0.00%"
"Sep 11, 2019","5.23","5.24","5.24","5.22","55.34K","-0.19%"
"Sep 10, 2019","5.24","5.24","5.25","5.24","163.66K","-0.19%"
"Sep 09, 2019","5.25","5.27","5.27","5.25","38.25K","-0.38%"
"Sep 06, 2019","5.27","5.26","5.27","5.26","141.26K","0.19%"
"Sep 05, 2019","5.26","5.30","5.30","5.26","74.44K","-0.57%"
"Sep 04, 2019","5.29","5.30","5.30","5.28","129.80K","0.00%"
"Sep 03, 2019","5.29","5.30","5.30","5.29","110.51K","0.19%"
"Sep 02, 2019","5.28","5.28","5.29","5.28","108.92K","0.00%"
"Aug 30, 2019","5.28","5.28","5.29","5.27","51.16K","0.00%"
"Aug 29, 2019","5.28","5.29","5.29","5.28","215.77K","-0.19%"
"Aug 28, 2019","5.29","5.28","5.29","5.28","62.77K","0.19%"
"Aug 27, 2019","5.28","5.28","5.29","5.27","222.71K","0.19%"
"Aug 26, 2019","5.27","5.29","5.29","5.26","136.90K","0.00%"
"Aug 23, 2019","5.27","5.26","5.27","5.24","35.55K","0.19%"
"Aug 22, 2019","5.26","5.28","5.28","5.25","35.72K","-0.19%"
"Aug 21, 2019","5.27","5.27","5.27","5.26","462.00K","0.00%"
"Aug 20, 2019","5.27","5.27","5.28","5.26","236.13K","0.19%"
"Aug 19, 2019","5.26","5.28","5.28","5.26","24.70K","-0.19%"
"Aug 16, 2019","5.27","5.28","5.28","5.26","77.36K","-0.19%"
"Aug 15, 2019","5.28","5.26","5.28","5.26","127.90K","0.38%"
"Aug 14, 2019","5.26","5.25","5.26","5.24","95.47K","0.38%"
"Aug 13, 2019","5.24","5.25","5.25","5.23","136.09K","0.00%"
"Aug 12, 2019","5.24","5.23","5.24","5.23","88.51K","0.19%"
"Aug 09, 2019","5.23","5.23","5.24","5.23","48.02K","0.19%"
"Aug 08, 2019","5.22","5.22","5.24","5.22","58.27K","-0.38%"
"Aug 07, 2019","5.24","5.24","5.25","5.23","106.67K","0.38%"
"Aug 06, 2019","5.22","5.22","5.23","5.21","213.42K","0.19%"
"Aug 05, 2019","5.21","5.23","5.23","5.21","42.33K","0.19%"
"Aug 02, 2019","5.20","5.20","5.21","5.20","43.15K","0.19%"
"Aug 01, 2019","5.19","5.17","5.19","5.17","151.53K","0.19%"
"Jul 31, 2019","5.18","5.18","5.19","5.17","71.93K","0.19%"
"Jul 30, 2019","5.17","5.17","5.18","5.17","97.33K","0.00%"
"Jul 29, 2019","5.17","5.18","5.18","5.17","31.01K","0.00%"
