"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 11, 2020","5.10","5.13","5.13","5.06","1.85M","-0.10%"
"Dec 10, 2020","5.11","5.13","5.13","5.06","419.26K","-0.85%"
"Dec 09, 2020","5.15","5.14","5.16","5.13","432.34K","0.76%"
"Dec 08, 2020","5.11","5.08","5.11","5.05","299.99K","0.33%"
"Dec 07, 2020","5.09","5.10","5.10","5.06","501.00K","0.24%"
"Dec 04, 2020","5.08","5.04","5.09","5.03","253.41K","0.79%"
"Dec 03, 2020","5.04","5.00","5.04","4.99","385.64K","0.98%"
"Dec 02, 2020","4.99","5.02","5.02","4.97","420.37K","-0.64%"
"Dec 01, 2020","5.02","5.03","5.07","5.02","514.76K","0.75%"
"Nov 30, 2020","4.99","5.02","5.04","4.97","288.05K","-1.16%"
"Nov 27, 2020","5.05","5.05","5.07","5.04","202.49K","0.12%"
"Nov 26, 2020","5.04","5.07","5.07","5.04","308.54K","-0.16%"
"Nov 25, 2020","5.05","5.08","5.09","5.03","227.89K","-0.86%"
"Nov 24, 2020","5.09","5.05","5.09","5.05","362.30K","1.37%"
"Nov 23, 2020","5.02","5.00","5.03","4.96","208.15K","1.64%"
"Nov 20, 2020","4.94","4.91","4.96","4.91","248.44K","0.34%"
"Nov 19, 2020","4.92","4.92","4.94","4.90","208.99K","-1.01%"
"Nov 18, 2020","4.97","4.93","4.98","4.93","110.04K","0.94%"
"Nov 17, 2020","4.93","4.96","4.96","4.89","356.85K","-0.83%"
"Nov 16, 2020","4.97","4.92","4.98","4.90","525.32K","2.27%"
"Nov 13, 2020","4.86","4.81","4.87","4.81","428.03K","0.28%"
"Nov 12, 2020","4.84","4.84","4.87","4.84","179.00K","-0.58%"
"Nov 11, 2020","4.87","4.87","4.90","4.85","283.27K","0.56%"
"Nov 10, 2020","4.85","4.84","4.89","4.80","941.37K","-0.73%"
"Nov 09, 2020","4.88","4.71","5.00","4.70","413.72K","4.62%"
"Nov 06, 2020","4.67","4.69","4.71","4.64","209.31K","-0.42%"
"Nov 05, 2020","4.69","4.66","4.69","4.63","222.63K","0.71%"
"Nov 04, 2020","4.65","4.52","4.65","4.51","372.79K","1.68%"
"Nov 03, 2020","4.58","4.54","4.58","4.53","270.66K","1.67%"
"Nov 02, 2020","4.50","4.47","4.51","4.45","278.85K","1.21%"
"Oct 30, 2020","4.45","4.42","4.48","4.40","199.32K","-0.33%"
"Oct 29, 2020","4.46","4.44","4.47","4.41","154.12K","0.52%"
"Oct 28, 2020","4.44","4.48","4.48","4.41","187.61K","-1.69%"
"Oct 27, 2020","4.51","4.55","4.56","4.51","102.51K","-0.52%"
"Oct 26, 2020","4.54","4.57","4.60","4.53","222.08K","-1.87%"
"Oct 23, 2020","4.63","4.62","4.64","4.61","161.16K","0.87%"
"Oct 22, 2020","4.59","4.56","4.60","4.53","325.99K","0.15%"
"Oct 21, 2020","4.58","4.63","4.63","4.57","206.21K","-0.96%"
"Oct 20, 2020","4.62","4.63","4.64","4.61","526.76K","-0.94%"
"Oct 19, 2020","4.67","4.70","4.70","4.65","167.97K","-0.46%"
"Oct 16, 2020","4.69","4.69","4.69","4.66","640.19K","1.01%"
"Oct 15, 2020","4.64","4.65","4.65","4.60","437.38K","-1.01%"
"Oct 14, 2020","4.69","4.69","4.70","4.67","193.52K","0.26%"
"Oct 13, 2020","4.68","4.69","4.69","4.65","169.59K","-0.44%"
"Oct 12, 2020","4.70","4.68","4.70","4.67","526.07K","0.95%"
"Oct 09, 2020","4.65","4.67","4.67","4.65","215.70K","0.53%"
"Oct 08, 2020","4.63","4.63","4.66","4.62","227.47K","0.84%"
"Oct 07, 2020","4.59","4.57","4.60","4.56","103.19K","0.33%"
"Oct 06, 2020","4.57","4.53","4.58","4.53","218.74K","1.15%"
