"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 25, 2020","23.66","23.50","23.67","23.29","11.80K","0.40%"
"Jun 24, 2020","23.57","23.89","23.89","23.57","17.86K","-3.02%"
"Jun 23, 2020","24.30","24.29","24.38","24.17","5.83K","1.21%"
"Jun 22, 2020","24.01","24.18","24.20","23.98","0.57K","-1.56%"
"Jun 19, 2020","24.39","24.50","24.50","24.36","6.96K","0.45%"
"Jun 18, 2020","24.28","24.28","24.33","24.27","1.89K","-0.82%"
"Jun 17, 2020","24.48","24.60","24.67","24.42","2.50K","0.14%"
"Jun 16, 2020","24.44","24.25","24.69","24.18","90.17K","3.49%"
"Jun 15, 2020","23.62","23.32","23.69","23.30","42.95K","-0.92%"
"Jun 12, 2020","23.84","23.92","24.17","23.74","51.66K","0.19%"
"Jun 11, 2020","23.80","24.50","24.50","23.83","20.34K","-4.95%"
"Jun 10, 2020","25.03","25.40","25.40","25.00","40.00K","-0.91%"
"Jun 09, 2020","25.26","25.80","25.80","25.17","13.19K","-1.62%"
"Jun 08, 2020","25.68","25.50","25.76","25.41","56.77K","0.31%"
"Jun 05, 2020","25.60","24.81","25.60","24.81","114.17K","4.36%"
"Jun 04, 2020","24.53","24.57","24.64","24.48","82.64K","-0.79%"
"Jun 03, 2020","24.73","24.44","24.76","24.44","33.31K","1.90%"
"Jun 02, 2020","24.26","24.20","24.40","24.17","51.50K","0.77%"
"Jun 01, 2020","24.08","24.05","24.15","23.98","56.47K","1.54%"
"May 29, 2020","23.72","24.00","24.00","23.74","24.75K","-3.01%"
"May 28, 2020","24.45","24.62","24.62","24.42","15.45K","1.07%"
"May 27, 2020","24.19","24.17","24.35","24.16","47.14K","1.15%"
"May 26, 2020","23.92","23.76","23.92","23.75","2.28K","1.36%"
"May 25, 2020","23.59","23.56","23.61","23.38","3.33K","1.92%"
"May 22, 2020","23.15","22.90","23.21","22.90","0.29K","-0.06%"
"May 21, 2020","23.17","23.24","23.32","23.24","3.61K","-1.32%"
