"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 26, 2020","32.45","32.58","32.71","32.22","2.77K","0.72%"
"Jun 25, 2020","32.21","32.00","32.39","31.87","19.86K","0.61%"
"Jun 24, 2020","32.02","32.79","32.98","32.00","4.66K","-3.22%"
"Jun 23, 2020","33.08","33.18","33.50","32.86","5.88K","0.00%"
"Jun 22, 2020","33.08","33.14","33.31","33.00","2.10K","-2.42%"
"Jun 19, 2020","33.91","34.17","34.25","33.85","1.11K","-0.53%"
"Jun 18, 2020","34.08","34.05","34.38","33.89","3.61K","-1.00%"
"Jun 17, 2020","34.43","34.85","35.12","34.29","2.01K","-1.45%"
"Jun 16, 2020","34.94","34.42","35.29","34.36","7.64K","3.76%"
"Jun 15, 2020","33.67","32.75","33.70","32.56","12.48K","0.53%"
"Jun 12, 2020","33.49","32.64","33.90","32.64","7.65K","1.59%"
"Jun 11, 2020","32.96","33.92","33.92","32.96","14.21K","-4.93%"
"Jun 10, 2020","34.67","35.66","35.66","34.50","18.55K","-2.21%"
"Jun 09, 2020","35.46","36.22","36.23","35.25","22.92K","-1.65%"
"Jun 08, 2020","36.05","35.57","36.05","35.53","9.87K","0.76%"
"Jun 05, 2020","35.78","34.10","35.78","34.10","7.94K","4.60%"
"Jun 04, 2020","34.20","34.50","34.50","34.10","2.78K","-1.00%"
"Jun 03, 2020","34.55","33.77","34.61","33.77","2.24K","2.64%"
"Jun 02, 2020","33.66","33.33","33.71","33.24","4.51K","1.74%"
"Jun 01, 2020","33.08","32.81","33.08","32.50","1.41K","1.66%"
"May 29, 2020","32.54","32.80","32.90","32.50","4.02K","-0.89%"
"May 28, 2020","32.83","33.10","33.42","32.80","11.33K","0.17%"
"May 27, 2020","32.78","33.03","33.35","32.69","7.43K","0.32%"
"May 26, 2020","32.67","32.47","32.85","32.37","5.55K","1.81%"
"May 25, 2020","32.09","31.57","32.18","31.57","8.73K","2.04%"
